id_orig,original_language,budget,revenue,original_title,popularity,release_date,vote_average,vote_count,año,return
862,en,30000000.0,373554033.0,Toy Story,21.946943,1995-10-30,7.7,5415.0,1995,12.4518011
8844,en,65000000.0,262797249.0,Jumanji,17.015539,1995-12-15,6.9,2413.0,1995,4.0430346
15602,en,0.0,0.0,Grumpier Old Men,11.7129,1995-12-22,6.5,92.0,1995,
31357,en,16000000.0,81452156.0,Waiting to Exhale,3.859495,1995-12-22,6.1,34.0,1995,5.09075975
11862,en,0.0,76578911.0,Father of the Bride Part II,8.387519,1995-02-10,5.7,173.0,1995,inf
949,en,60000000.0,187436818.0,Heat,17.924927,1995-12-15,7.7,1886.0,1995,3.123946966666667
11860,en,58000000.0,0.0,Sabrina,6.677277,1995-12-15,6.2,141.0,1995,0.0
45325,en,0.0,0.0,Tom and Huck,2.561161,1995-12-22,5.4,45.0,1995,
9091,en,35000000.0,64350171.0,Sudden Death,5.23158,1995-12-22,5.5,174.0,1995,1.8385763142857143
710,en,58000000.0,352194034.0,GoldenEye,14.686036,1995-11-16,6.6,1194.0,1995,6.072310931034483
9087,en,62000000.0,107879496.0,The American President,6.318445,1995-11-17,6.5,199.0,1995,1.739991870967742
12110,en,0.0,0.0,Dracula: Dead and Loving It,5.430331,1995-12-22,5.7,210.0,1995,
21032,en,0.0,11348324.0,Balto,12.140733,1995-12-22,7.1,423.0,1995,inf
10858,en,44000000.0,13681765.0,Nixon,5.092,1995-12-22,7.1,72.0,1995,0.31094920454545455
1408,en,98000000.0,10017322.0,Cutthroat Island,7.284477,1995-12-22,5.7,137.0,1995,0.10221757142857144
524,en,52000000.0,116112375.0,Casino,10.137389,1995-11-22,7.8,1343.0,1995,2.2329302884615383
4584,en,16500000.0,135000000.0,Sense and Sensibility,10.673167,1995-12-13,7.2,364.0,1995,8.181818181818182
5,en,4000000.0,4300000.0,Four Rooms,9.026586,1995-12-09,6.5,539.0,1995,1.075
9273,en,30000000.0,212385533.0,Ace Ventura: When Nature Calls,8.205448,1995-11-10,6.1,1128.0,1995,7.079517766666667
11517,en,60000000.0,35431113.0,Money Train,7.337906,1995-11-21,5.4,224.0,1995,0.59051855
8012,en,30250000.0,115101622.0,Get Shorty,12.669608,1995-10-20,6.4,305.0,1995,3.805012297520661
1710,en,0.0,0.0,Copycat,10.701801,1995-10-27,6.5,199.0,1995,
9691,en,50000000.0,30303072.0,Assassins,11.065939,1995-10-06,6.0,394.0,1995,0.60606144
12665,en,0.0,0.0,Powder,12.133094,1995-10-27,6.3,143.0,1995,
451,en,3600000.0,49800000.0,Leaving Las Vegas,10.332025,1995-10-27,7.1,365.0,1995,13.833333333333334
16420,en,0.0,0.0,Othello,1.845899,1995-12-15,7.0,33.0,1995,
9263,en,12000000.0,27400000.0,Now and Then,8.681325,1995-10-20,6.6,91.0,1995,2.283333333333333
17015,en,0.0,0.0,Persuasion,2.228434,1995-09-27,7.4,36.0,1995,
9909,en,0.0,180000000.0,Dangerous Minds,9.481338,1995-08-11,6.4,249.0,1995,inf
63,en,29500000.0,168840000.0,Twelve Monkeys,12.297305,1995-12-29,7.4,2470.0,1995,5.7233898305084745
9598,en,30000000.0,254134910.0,Babe,14.404764,1995-07-18,6.0,756.0,1995,8.471163666666667
47018,en,0.0,0.0,Carrington,1.493361,1995-11-08,6.4,16.0,1995,
687,en,11000000.0,39363635.0,Dead Man Walking,6.891317,1995-12-29,7.3,350.0,1995,3.5785122727272727
139405,en,0.0,0.0,Across the Sea of Time,0.114469,1995-10-20,3.5,2.0,1995,
33689,en,0.0,0.0,It Takes Two,7.777735,1995-11-17,6.1,149.0,1995,
9603,en,12000000.0,0.0,Clueless,9.882383,1995-07-19,6.9,828.0,1995,0.0
34615,en,0.0,676525.0,"Cry, the Beloved Country",0.894647,1995-12-15,6.7,13.0,1995,inf
31174,en,0.0,0.0,Richard III,4.561387,1995-12-29,6.9,50.0,1995,
